user_id,user_created_at,length,likes,quotes,replies,retweets,text,user_followers,user_tweet_count
katiephang.bsky.social,2023-04-29,0,12700,130,298,2265,nan, 283259, 303
devilstower.bsky.social,2023-07-09,291,43931,461,1162,6553,"Six decades later, Star Trek may still be the only franchise based on the ideas that diversity is strength, justice is the measure of civilization, bounty is to be shared, peace is worth the price, and all these things can be achieved. \n\nWe need more shows that look ahead and find goodness.", 11988, 529
allabtgalaxy.bsky.social,2024-10-22,25,23645,99,208,1805,A rose made of galaxies.., 101251, 109
discussingfilm.bsky.social,2023-07-01,55,36887,380,629,3248,Today would have been Chadwick Boseman’s 48th birthday., 110437, 251
kamalladreams.bsky.social,2024-11-13,45,8091,16,79,530,Look up to the sky for bluesky of the winter., 89833, 2987
dril.bsky.social,2023-04-27,138,7829,19,88,689,seems like rich guys just want to spend their money on stupid shit . if i was rich i would get my dad and all my uncles added to fort nite, 413446, 283
publichealthguy.com,2023-05-17,29,51742,221,760,3096,someone can’t wait to be king, 17320, 1037
jayinkyiv.bsky.social,2023-07-14,122,428,2,9,92,"Historic moment in Allepo now, as the statue of Bassel al-Assad, brother of Putin's puppet Bashar al-Assad is ripped down.", 36323, 398
humblyjay.bsky.social,2024-11-25,28,46582,128,399,3157,The moon disguised as Saturn, 8633, 22
safety.bsky.app,2023-07-17,233,22640,382,751,4530,"1/ With more users joining Bluesky, we know how important it is to identify which accounts are real. Users deserve confidence that the accounts they interact with are authentic. \n\nSharing some details about our impersonation policy 🧵", 222143, 92
darthputinkgb.bsky.social,2023-07-29,231,522,3,15,104,"OTD in 1951 3rd wave of Operation Osen deportationa began. 20,000 Lithuanians were forcibly deported to Siberia as USSR continued to ""liberate them from fascism"" 6 years after WW2 ended\n\nImagine mass deportations happening today...", 77969, 846
wolfskulljack.bsky.social,2023-07-04,51,407,1,13,37,Good morning! Can we please appreciate Bosch’s paws, 39274, 3507
amerrill2.bsky.social,2024-11-06,263,29274,67,411,1486,"I was at Disneyland the day they were celebrating Dick VanDyke’s 90th birthday.  He came out and danced with the chimney sweeps to Step In Time and put them all to shame.\n\nI’ve always been a big fan of his, but holy crap, it was impressive to see him dance at 90.", 10400, 942
bryansgunn.bsky.social,2024-08-07,17,727,31,36,170,High octane stuff, 21267, 35
jamellebouie.net,2023-04-27,158,14593,160,588,585,"watching CAPTAIN AMERICA: WINTER SOLDIER for the first time in a minute and yeah, this is still in the top 5 of everything that has come out of marvel studios", 419022, 10697
